speed;age;miles;group
100.0;54.0;17.0;1
148.0;42.0;50.0;0
109.0;36.0;23.0;1
149.0;33.0;68.0;2
126.0;80.0;25.0;0
101.0;31.0;11.0;2
119.0;21.0;16.0;0
96.0;52.0;14.0;1
110.0;42.0;14.0;1
121.0;43.0;30.0;1
144.0;40.0;44.0;1
123.0;23.0;44.0;0
146.0;47.0;38.0;1
119.0;16.0;12.0;2
107.0;33.0;12.0;2
114.0;73.0;22.0;0
114.0;49.0;17.0;1
107.0;49.0;6.0;1
148.0;35.0;45.0;0
143.0;39.0;77.0;2
102.0;26.0;17.0;2
101.0;29.0;15.0;2
119.0;21.0;25.0;0
98.0;24.0;8.0;2
96.0;25.0;24.0;2
120.0;16.0;29.0;0
143.0;44.0;42.0;1
123.0;81.0;17.0;0
99.0;23.0;22.0;2
145.0;42.0;39.0;1
135.0;42.0;44.0;1
135.0;36.0;38.0;1
97.0;25.0;13.0;2
98.0;55.0;28.0;1
130.0;50.0;56.0;2
115.0;43.0;45.0;2
122.0;72.0;53.0;2
149.0;35.0;44.0;0
127.0;54.0;14.0;1
124.0;44.0;31.0;2
118.0;36.0;44.0;0
136.0;41.0;47.0;2
100.0;28.0;9.0;2
132.0;49.0;44.0;2
137.0;57.0;58.0;2
112.0;31.0;35.0;1
148.0;32.0;52.0;0
101.0;30.0;8.0;2
147.0;36.0;56.0;0
150.0;41.0;40.0;0
96.0;46.0;33.0;1
97.0;31.0;22.0;2
146.0;43.0;30.0;1
122.0;23.0;17.0;0
132.0;46.0;44.0;2
125.0;21.0;28.0;0
114.0;75.0;24.0;0
136.0;52.0;35.0;2
152.0;34.0;53.0;0
113.0;79.0;9.0;0
144.0;41.0;40.0;1
146.0;46.0;42.0;1
105.0;30.0;33.0;0
148.0;31.0;51.0;0
107.0;46.0;19.0;1
142.0;43.0;41.0;1
105.0;45.0;43.0;2
114.0;55.0;26.0;1
117.0;39.0;27.0;1
148.0;34.0;46.0;0
105.0;36.0;15.0;1
120.0;37.0;38.0;2
137.0;45.0;39.0;1
114.0;82.0;21.0;0
106.0;53.0;39.0;2
143.0;56.0;41.0;1
150.0;27.0;49.0;0
138.0;43.0;46.0;2
98.0;31.0;11.0;2
127.0;32.0;47.0;2
103.0;30.0;21.0;2
143.0;50.0;53.0;2
135.0;83.0;15.0;0
149.0;33.0;44.0;0
122.0;63.0;9.0;0
132.0;26.0;22.0;2
115.0;25.0;28.0;0
150.0;62.0;23.0;2
120.0;67.0;20.0;0
150.0;34.0;44.0;0
108.0;53.0;25.0;1
101.0;37.0;12.0;2
139.0;46.0;28.0;0
126.0;43.0;46.0;2
123.0;36.0;7.0;1
152.0;33.0;48.0;0
127.0;49.0;52.0;2
121.0;43.0;28.0;2
144.0;37.0;43.0;1
104.0;31.0;29.0;1
153.0;35.0;49.0;0
108.0;28.0;13.0;1
103.0;49.0;28.0;1
104.0;30.0;1.0;1
137.0;45.0;36.0;1
123.0;58.0;40.0;0
159.0;66.0;1.0;2
130.0;62.0;15.0;0
151.0;36.0;50.0;0
147.0;33.0;54.0;0
146.0;29.0;56.0;0
117.0;50.0;21.0;1
119.0;34.0;33.0;2
128.0;30.0;43.0;0
122.0;45.0;15.0;1
137.0;48.0;36.0;1
105.0;22.0;22.0;2
109.0;40.0;24.0;1
118.0;78.0;13.0;0
145.0;38.0;55.0;0
141.0;49.0;33.0;1
109.0;28.0;13.0;2
92.0;33.0;24.0;2
139.0;49.0;29.0;1
131.0;40.0;15.0;1
139.0;52.0;43.0;2
141.0;43.0;36.0;1
95.0;20.0;11.0;2
112.0;49.0;8.0;1
106.0;34.0;16.0;1
123.0;48.0;49.0;1
106.0;38.0;12.0;2
97.0;23.0;16.0;2
121.0;97.0;1.0;2
114.0;20.0;45.0;0
150.0;49.0;38.0;1
108.0;52.0;1.0;1
151.0;28.0;51.0;0
113.0;30.0;22.0;1
113.0;72.0;23.0;0
114.0;32.0;29.0;0
124.0;43.0;22.0;1
151.0;27.0;45.0;0
119.0;50.0;1.0;1
98.0;30.0;18.0;2
146.0;38.0;45.0;0
107.0;67.0;17.0;2
111.0;41.0;21.0;1
123.0;58.0;57.0;2
136.0;33.0;24.0;2
